id,column_5
0,1
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,2
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,2
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,1
95,2
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,1
111,2
112,1
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,2
167,3
168,0
169,1
170,0
171,2
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,0
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,2
235,1
236,1
237,2
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,2
264,0
265,1
266,2
267,1
268,3
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,0
297,2
298,0
299,0
300,1
301,2
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,2
315,1
316,1
317,0
318,2
319,1
320,1
321,2
322,1
323,0
324,1
325,2
326,1
327,0
328,1
329,1
330,1
331,1
332,1
333,2
334,1
335,1
336,1
337,1
338,0
339,2
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,1
357,2
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,2
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,3
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,2
458,0
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,1
473,2
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,0
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,2
535,0
536,1
537,2
538,0
539,0
540,1
541,1
542,0
543,2
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,1
555,0
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,2
576,1
577,2
578,1
579,0
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,2
595,0
596,1
597,1
598,0
599,1
600,1
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,2
609,0
610,1
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,3
629,1
630,1
631,1
632,1
633,2
634,0
635,1
636,1
637,0
638,1
639,1
640,1
641,3
642,1
643,1
644,1
645,1
646,2
647,1
648,1
649,2
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,2
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,2
680,0
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,1
698,0
699,1
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,0
737,1
738,1
739,0
740,0
741,0
742,1
743,0
744,2
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,1
754,0
755,1
756,1
757,3
758,1
759,1
760,0
761,2
762,1
763,2
764,2
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,2
801,2
802,1
803,2
804,0
805,1
806,0
807,1
808,0
809,1
810,1
811,1
